#MLRT	#	IV
			
#sneakpeek	#	IV
from	P	IV
<<	~	OOV
Voir	G	OOV
Autrement	!	OOV
>>	G	OOV
a	D	IV
photo	N	IV
exhibit	N	IV
opening	V	IV
Saturday	^	IV
@	P	OOV
#Hashtag	#	IV
Gallery	N	OOV
http://t.co/27S8p2lPPt	U	IV
			
sigh	V	IV
it	O	IV
could've	V	OOV
been	V	IV
betetr	^	IV
if	P	IV
zayn	^	IV
was	V	IV
there	R	IV
tbh	!	OOV
			
@Simply_Beeh	@	IV
@abelwest_	@	IV
#FLYNFLASHY4	#	IV
#THESUMMERWEARAFFAIR	#	IV
#JULY4	#	IV
#ONTHEROX	#	IV
$15	$	IV
TIX	N	OOV
6473000376	!	OOV
FREE	A	OOV
BOOTH	N	OOV
4	$	IV
BDAY	N	OOV
LADIES	N	OOV
7	$	IV
BOOTHS	N	OOV
LEFT	V	OOV
			
@imjaygupta	@	IV
@iTIGERSHROFF	@	IV
Hey	!	IV
Jay	^	IV
,	,	IV
u	O	IV
met	V	IV
@iTIGERSHROFF	@	IV
in	P	IV
a	D	IV
theatre	N	OOV
yesterday	N	IV
right	!	IV
?	,	IV
Congrats	!	OOV
n	&	IV
must	V	IV
say	V	IV
aap	!	OOV
bahuuut	!	OOV
lucky	A	IV
ho	!	IV
:)	E	OOV
*	,	IV
touchwood	^	IV
*	,	IV
			
Somewhere	R	OOV
theres	Y	IV
a	D	IV
chick	N	IV
that	O	IV
has	V	IV
had	V	IV
several	A	IV
niggas	N	OOV
kids	N	IV
on	P	IV
her	O	IV
and	&	IV
received	V	IV
no	!	IV
towel	N	IV
...	~	OOV
			
@tatteduphollyyy	@	IV
#EZYWRK's	#	IV
"	,	IV
FEAR	N	OOV
THA	D	OOV
ZOO	N	OOV
"	,	IV
mixtape	N	OOV
hosted	V	IV
by	P	IV
DJ	^	IV
MoonDawg	!	OOV
OUT	T	OOV
NOW	R	IV
DOWNLOADED	V	OOV
4	$	IV
FREE	A	OOV
http://t.co/hk3cJgNSKp	U	IV
			
Can	V	IV
Michel	^	IV
Gondry	^	IV
and	&	IV
Wes	^	IV
Anderson	^	IV
team	N	IV
on	P	IV
a	D	IV
short	A	IV
someday	R	IV
please	V	IV
?	,	IV
			
@Ms_Carapernelia	@	IV
HAHA	!	OOV
!	,	IV
Pretty	A	OOV
good	A	IV
Bitch	N	OOV
!	,	IV
MissYou	!	OOV
!	,	IV
:	,	IV
*	,	IV
			
I	O	IV
added	V	IV
a	D	IV
video	N	IV
to	P	IV
a	D	IV
@YouTube	@	IV
playlist	N	OOV
http://t.co/uXVW5eWp9V	U	IV
VersaEmerge	^	IV
:	,	IV
Fixed	V	OOV
At	P	IV
Zero	N	OOV
[	,	IV
OFFICIAL	N	OOV
VIDEO	N	OOV
]	,	IV
			
@lexx_sullivann	@	IV
will	V	IV
alwayz	R	OOV
be	V	IV
my	D	IV
gurl	!	OOV
			
@AimannAzimm	@	IV
fuack	!	OOV
this	O	IV
man	!	IV
haha	!	IV
alright	!	IV
bro	N	IV
			
RT	~	IV
@SheswantstheD	@	IV
:	,	IV
Manny	^	IV
Pacquiao	^	IV
is	V	IV
real	A	IV
af	R	IV
for	P	IV
this	O	IV
http://t.co/XwvuoCohmZ	U	IV
			
RT	~	IV
@Ashton5SOS	@	IV
:	,	IV
I	O	IV
wonder	V	IV
what	O	IV
woulda	V	OOV
happened	V	IV
if	P	IV
I	O	IV
never	R	IV
learnt	V	OOV
the	D	IV
drums	N	IV
			
THATS	L	OOV
NOT	R	OOV
TABARUIS	N	OOV
I	O	IV
THINK	V	OOV
THATS	L	OOV
A	D	IV
TROLL	N	OOV
ACCOUNT	N	OOV
			
Rosberg	^	IV
wins	V	IV
#MonacoGrandPrix	#	IV
His	D	IV
Mercedes	^	IV
teammate	N	IV
Lewis	^	IV
Hamilton	^	IV
finishes	V	IV
2nd	$	IV
.	,	IV
Red	A	IV
Bull's	Z	IV
Daniel	^	IV
Ricciardo	!	OOV
ends	V	IV
3rd	$	IV
http://t.co/ltFDVShyBP	U	IV
			
#2	#	IV
:	,	IV
Dremel	^	IV
SM844	!	OOV
Crown	N	OOV
Molding	N	OOV
Guide	N	OOV
:	,	IV
Dremel	^	IV
SM844	!	OOV
Crown	N	OOV
Molding	N	OOV
Guide	N	OOV
by	P	IV
Dremel	^	IV
(	,	IV
1)Buy	$	IV
new	A	IV
:	,	IV
$26.99	$	IV
$22.26	$	IV
4	$	IV
...	~	OOV
http://t.co/JlIxviDO8D	U	IV
			
RT	~	IV
@____vasquez	@	IV
:	,	IV
tazz	^	IV
needa	!	OOV
quit	V	IV
it	O	IV
wit	P	IV
that	O	IV
last	A	IV
quote	N	IV
lol	!	IV
she	O	IV
don't	V	IV
live	V	IV
that	O	IV
life	N	IV
			
Do	V	IV
your	D	IV
own	A	IV
fuckin	!	IV
laundry	N	IV
bruh	N	OOV
!	,	IV
Your	D	OOV
fuckin	!	IV
13-14	$	IV
years	N	IV
old	A	IV
so	R	IV
do	V	IV
your	D	IV
own	A	IV
laundry	N	IV
.	,	IV
			
RT	~	IV
@Leadeerr	@	IV
:	,	IV
Start	V	OOV
a	D	IV
trend	N	IV
wid	!	IV
dis	D	IV
wrd	!	OOV
"	,	IV
@Anousha98	@	IV
"	,	IV
;)	E	OOV
			
RT	~	IV
@SMent_EXO	@	IV
:	,	IV
140525	$	IV
SJ	^	IV
Donghae	^	IV
Instagram	^	IV
update	N	IV
with	P	IV
Sehun	^	IV
http://t.co/B3M5rB657M	U	IV
			
FB	^	IV
;	,	IV
Junior	N	IV
Bautista	^	IV
Big	A	IV
tits	N	IV
masturbating	V	IV
and	&	IV
squirting	V	IV
in	P	IV
chair	N	IV
:	,	IV
Views	N	OOV
:	,	IV
0	$	IV
Rating	N	OOV
:	,	IV
0	$	IV
Durat	^	IV
...	~	OOV
			
CRAVING	V	OOV
FOR	P	IV
COFFEE	N	OOV
SCROLLS	V	OOV
FROM	P	OOV
AUSTRALIA	^	IV
!!!	,	IV
I	O	IV
WANN	V	OOV
GO	!	IV
THERE	R	OOV
SOO	R	OOV
BAD	A	OOV
!	,	IV
@Ashton5SOS	@	IV
@Luke5SOS	@	IV
@Calum5SOS	@	IV
@Michael5SOS	@	IV
			
@Trigga_Happy1	@	IV
u	O	IV
still	R	IV
at	P	IV
tha	D	IV
lab	N	IV
			
RT	~	IV
@NANOJEFE	@	IV
:	,	IV
@MCDONALDS	@	IV
DONT	V	OOV
EVEN	R	OOV
TRY	V	OOV
NO	!	IV
MORE	A	OOV
BRUH	N	OOV
http://t.co/nKlK80nWD0	U	IV
			
ahahaha	!	OOV
i	O	IV
tagged	V	IV
the	D	IV
wrong	A	IV
person	N	IV
lmao	!	OOV
			
RT	~	IV
@ibrahim_mujahed	@	IV
:	,	IV
I'm	L	IV
just	R	IV
tryna	V	OOV
figure	V	IV
out	T	IV
why	R	IV
they're	L	IV
not	R	IV
txtin	V	OOV
the	D	IV
group	N	IV
with	P	IV
me	O	IV
in	P	IV
it	O	IV
?	,	IV
			
Defs	R	OOV
just	R	IV
ran	V	IV
into	P	IV
Dan	^	IV
and	&	IV
Aaron	^	IV
at	P	IV
Disneyland	^	IV
lols	!	IV
			
It'l	L	OOV
be	V	IV
#strictlybyinvite	#	IV
.	,	IV
Vee's	Z	OOV
style	N	IV
..	,	IV
mathata	!	OOV
ke	^	IV
gore	^	IV
i'm	L	OOV
a	D	IV
nobody	N	IV
-__-	E	OOV
			
RT	~	IV
@HaroldRepublic	@	IV
:	,	IV
CROKE	^	IV
PARK	^	IV
SHOWS	V	OOV
ARE	V	IV
OVER	P	OOV
IN	P	IV
A	D	IV
FLASH	N	OOV
IM	L	IV
cRYING	V	OOV
			
RT	~	IV
@lndirecto	@	IV
:	,	IV
Una	!	IV
amistad	^	IV
sin	N	IV
bullying	V	IV
debe	!	IV
ser	G	IV
muy	!	OOV
aburrida	!	OOV
.	,	IV
			
RT	~	IV
@EXO_FANBASE	@	IV
:	,	IV
[	,	IV
HQ	N	IV
]	,	IV
140523	$	IV
Baekhyun	^	IV
-	,	IV
EXO	^	IV
from	P	IV
Exoplanet	N	OOV
#1	$	IV
-	,	IV
The	D	IV
Lost	V	OOV
Planet	N	OOV
Concert	N	OOV
(	,	IV
cr	N	IV
:	,	IV
honey	N	IV
b	V	IV
)	,	IV
[	,	IV
2	$	IV
]	,	IV
http://t.co/Uirp2wE3cI	U	IV
			
RT	~	IV
@ygtraineepls	@	IV
:	,	IV
ohmygad	!	OOV
minzy	^	IV
posing	V	IV
for	P	IV
a	D	IV
fan	N	IV
hahahahhaa	!	OOV
http://t.co/3Q2eXsPZE1	U	IV
			
RT	~	IV
@nadraRVRE	@	IV
:	,	IV
Fxck	!	OOV
with	P	IV
me	O	IV
and	&	IV
get	V	IV
smoked	V	IV
or	&	IV
Fxck	!	OOV
with	P	IV
me	O	IV
and	&	IV
smoke	V	IV
too	R	IV
			
@Ska_Kongshan	@	IV
Haier	^	IV
in	P	IV
Ho	!	IV
Chi	^	IV
Minh	^	IV
City	N	IV
disguised	V	IV
as	P	IV
a	D	IV
Japanese	A	IV
company	N	IV
!	,	IV
http://t.co/GtTBx8rS4E	U	IV
via	P	IV
@YouTube	@	IV
http://t.co/AKr3adfi0F	U	IV
			
I	O	IV
really	R	IV
am	V	IV
the	D	IV
best	A	IV
nigga	N	IV
thoee	!	OOV
.	,	IV
			
RT	~	IV
@MemeCOMIK	@	IV
:	,	IV
Selamat	^	IV
Pagi	^	IV
..	,	IV
congrats	!	IV
Real	A	IV
madrid	^	IV
			
"	,	IV
@silenthooper	@	IV
:	,	IV
Rare	A	OOV
picture	N	IV
of	P	IV
John	^	IV
Cena	^	IV
http://t.co/oumBrX7yzc	U	IV
"	,	IV
nigga	N	IV
please	V	IV
			
i	O	IV
don't	V	IV
like	P	IV
,	,	IV
bcs	^	IV
they	O	IV
r	V	IV
so	R	IV
popular	A	IV
n	&	IV
from	P	IV
big	A	IV
agency	N	IV
			
Dont	V	OOV
let	V	IV
the	D	IV
sky	N	IV
turn	V	IV
without	P	IV
me	O	IV
.	,	IV
Dont	V	OOV
let	V	IV
the	D	IV
moon	N	IV
shine	V	IV
without	P	IV
me	O	IV
.	,	IV
Dont	V	OOV
let	V	IV
the	D	IV
earth	N	IV
spin	V	IV
without	P	IV
me	O	IV
.	,	IV
Dont	V	OOV
go	V	IV
without	P	IV
me	O	IV
.	,	IV
			
RT	~	IV
@biebersbrows	@	IV
:	,	IV
"	,	IV
Justin	^	IV
Bieber	^	IV
is	V	IV
gay	A	IV
"	,	IV
"	,	IV
Justin	^	IV
Bieber	^	IV
is	V	IV
ugly	A	IV
"	,	IV
"	,	IV
Justin	^	IV
Bieber	^	IV
is	V	IV
a	D	IV
girl	N	IV
"	,	IV
http://t.co/aL17V9aXvv	U	IV
			
SearchCap	G	OOV
:	,	IV
Ripoff	N	OOV
Report	N	OOV
Returns	V	OOV
In	P	IV
Yahoo	^	IV
,	,	IV
Google	^	IV
Shopping	N	OOV
Campaigns	N	OOV
,	,	IV
Bing	^	IV
Webmaster	N	OOV
Roadshow	N	OOV
:	,	IV
Below	P	OOV
is	V	IV
what	O	IV
h	!	IV
...	~	OOV
http://t.co/xKtGjofhQc	U	IV
			
#New	#	IV
-	,	IV
New	A	IV
Photobooth	^	IV
Picture	N	OOV
of	P	IV
Perrie	^	IV
with	P	IV
her	O	IV
cousin	N	IV
Ellie	^	IV
recently	R	IV
http://t.co/mMuBIZbKSa	U	IV
			
My	D	IV
fav	!	IV
ice	N	IV
cream	N	IV
.	,	IV
Better	R	OOV
than	P	IV
baskins	^	IV
haha	!	IV
http://t.co/7EN2spJTma	U	IV
			
RT	~	IV
@1D_WorldInfo	@	IV
:	,	IV
#HQ	#	IV
Zayn	^	IV
on	P	IV
stage	N	IV
at	P	IV
Croke	^	IV
Park	^	IV
,	,	IV
Dublin	^	IV
!	,	IV
#2	#	IV
http://t.co/SrY0CUgc7e	U	IV
			
I'm	L	IV
a	D	IV
kpop	N	OOV
fangirl	N	OOV
.	,	IV
My	D	IV
oppa	!	IV
is	V	IV
the	D	IV
best	A	IV
.	,	IV
Your	D	OOV
argument	N	IV
is	V	IV
invalid	A	IV
.	,	IV
#fangirlquote	#	IV
			
RT	~	IV
@CBCNews	@	IV
:	,	IV
Peter	^	IV
Mansbridge	^	IV
on	P	IV
the	D	IV
legacy	N	IV
of	P	IV
Knowlton	^	IV
Nash	^	IV
:	,	IV
http://t.co/ZbZTxAbRm0	U	IV
			
RT	~	IV
@5SOS_Daily	@	IV
:	,	IV
Luke	^	IV
today	N	IV
(	,	IV
via	P	IV
Kylie	^	IV
G	!	IV
,	,	IV
stylist	N	IV
)	,	IV
http://t.co/5GlstEQxCf	U	IV
			
sehun	^	IV
:	,	IV
trying	V	IV
not	R	IV
to	P	IV
laugh	V	IV
suho	^	IV
:	,	IV
holding	V	IV
his	D	IV
laughter	N	IV
kai	^	IV
:	,	IV
ended	V	IV
up	T	IV
laughing	V	IV
http://t.co/RgMZPlGD1S	U	IV
			
RT	~	IV
@AuraK4s1h	@	IV
:	,	IV
Desain	N	OOV
Kamar	^	IV
Anak	^	IV
Ceria	!	OOV
-	,	IV
Happy	A	OOV
and	&	IV
Bright	A	IV
Children	N	OOV
Room	N	OOV
Design	N	OOV
Ideas	N	OOV
http://t.co/5okziXyKwx	U	IV
			
RT	~	IV
@CLITORISLARRY	@	IV
:	,	IV
surprise	N	IV
bitch	N	IV
thought	V	IV
theyre	L	OOV
innocent	A	IV
clean	A	IV
boyband	N	OOV
			
RT	~	IV
@MyDickIsCalled	@	IV
:	,	IV
My	D	IV
dick	N	IV
is	V	IV
called	V	IV
Selfies	N	OOV
because	P	IV
bitches	N	IV
love	N	IV
taking	V	IV
Selfies	N	OOV
.	,	IV
			
Not	R	IV
for	P	IV
nothin	N	IV
Justin	^	IV
Bieber	^	IV
crushed	V	IV
that	O	IV
hold	V	IV
tight	A	IV
track	N	IV
			
RT	~	IV
@FemaleStruggIes	@	IV
:	,	IV
when	R	IV
im	L	IV
mad	A	IV
at	P	IV
someone	N	IV
but	&	IV
then	R	IV
they	O	IV
ask	V	IV
if	P	IV
im	L	IV
hungry	A	IV
http://t.co/AMu11pDZjr	U	IV
			
RT	~	IV
@nike_dem20	@	IV
:	,	IV
This	D	IV
nigga	N	IV
Bosh	^	IV
bruh	N	OOV
			
My	D	IV
SweetFace	N	OOV
had	V	IV
me	O	IV
up	T	IV
&	&	OOV
working	V	IV
early	A	IV
..	,	IV
love	N	IV
my	D	IV
lil	A	IV
sweet	A	IV
niece	N	IV
!	,	IV
			
#47VIBEZUPDATES	#	IV
:	,	IV
VIDEO	N	OOV
:	,	IV
Wizkid	^	IV
And	&	IV
Davido	^	IV
performance	N	IV
At	P	IV
The	D	IV
Star	^	IV
Trek	N	IV
2014	$	IV
:	,	IV
Wizkid	^	IV
And	&	IV
Davido	^	IV
...	~	OOV
http://t.co/WgAeamXTiy	U	IV
(	,	IV
Via	!	IV
@47vibez	@	IV
)	,	IV
			
People	N	OOV
keep	V	IV
telling	V	IV
me	O	IV
to	P	IV
do	V	IV
coke	N	IV
.....	,	IV
GTFO	!	OOV
.	,	IV
Remove	V	OOV
yourself	O	IV
from	P	IV
my	D	IV
sight	N	IV
bru	!	IV
.	,	IV
			
RT	~	IV
@FlyyGuyJai	@	IV
:	,	IV
Make	V	IV
sure	A	IV
ppl	N	IV
are	V	IV
who	O	IV
they	O	IV
appear	V	IV
to	P	IV
be	V	IV
before	P	IV
u	O	IV
decide	V	IV
to	P	IV
fall	V	IV
for	P	IV
em	O	IV
			
these	D	IV
broads	N	IV
gettin	V	IV
catfished	!	OOV
by	P	IV
DC	^	IV
rappers	N	IV
now	R	IV
...	~	OOV
dont	V	IV
let	V	IV
FrivGawd	!	OOV
catfish	N	IV
that	O	IV
ass	N	IV
			
RT	~	IV
@Official_ALV	@	IV
:	,	IV
@___Jalena	@	IV
lol	!	IV
bkuz	P	OOV
u	O	IV
cool	A	IV
af	R	IV
these	D	IV
mfs	N	IV
here	R	IV
all	D	IV
stuck	V	IV
up	T	IV
n	&	IV
shit	N	IV
an	D	IV
they	O	IV
don't	V	IV
even	R	IV
be	V	IV
that	O	IV
cute	A	IV
lol	!	IV
			
don't	V	IV
u	O	IV
ever	R	IV
for	P	IV
a	D	IV
second	A	IV
get	V	IV
to	P	IV
thinkin	V	IV
...	~	OOV
ur	L	IV
irreplaceable	A	IV
			
RT	~	IV
@LoveKaiDO	@	IV
:	,	IV
140529	$	IV
SMTOWN	!	OOV
artists	N	IV
with	P	IV
EXO	^	IV
D.O.	^	IV
http://t.co/4rcXFmPnXS	U	IV
			
Titan	^	IV
Baseball	N	OOV
beats	V	IV
BRV	!	OOV
to	P	IV
advance	N	IV
to	P	IV
County	N	OOV
championship	N	IV
@	P	OOV
Tri	^	IV
tomorrow	N	IV
4	$	IV
pm	N	IV
.	,	IV
			
Why'd	P	OOV
the	D	IV
bus	N	IV
driver	N	IV
just	R	IV
get	V	IV
rowdy	A	IV
about	P	IV
payin	V	IV
child	N	IV
after	P	IV
10pm	$	IV
get	V	IV
a	D	IV
life	N	IV
u	O	IV
wasteman	!	OOV
			
RT	~	IV
@Harry_Styles	@	IV
:	,	IV
Niall	^	IV
on	P	IV
his	D	IV
way	N	IV
to	P	IV
the	D	IV
X	E	IV
games	N	IV
.	,	IV
https://t.co/QrMqYiMOHd	U	IV
			
Lol	!	IV
they	O	IV
give	V	IV
no	!	IV
fucks	N	IV
.	,	IV
They	O	OOV
out	T	IV
there	R	IV
trying	V	IV
to	P	IV
out	T	IV
THOT	V	OOV
each	D	IV
other	A	IV
.	,	IV
"	,	IV
@_SeLLz	@	IV
:	,	IV
Fab	A	IV
out	T	IV
there	R	IV
calling	V	IV
yall	O	IV
thots	N	OOV
lol	!	IV
"	,	IV
			
@ShawnRAshmore	@	IV
who	O	IV
is	V	IV
your	D	IV
favourite	!	OOV
@XMenMovies	@	IV
?	,	IV
Me	O	IV
it's	L	IV
The	D	IV
Fay	^	IV
of	P	IV
Futur	G	IV
Past	A	IV
!	,	IV
Whithout	!	OOV
hesitation	N	IV
!	,	IV
			
RT	~	IV
@CHlLDHOODRUINER	@	IV
:	,	IV
I	O	IV
keep	V	IV
telling	V	IV
u	O	IV
niggas	N	OOV
...	~	OOV
lifting	V	IV
weights	N	IV
don't	V	IV
teach	V	IV
you	O	IV
how	R	IV
to	P	IV
fight	N	IV
.	,	IV
lol	!	IV
https://t.co/LYik8ImZRv	U	IV
			
RT	~	IV
@ZaimOmey	@	IV
:	,	IV
Nengok	!	OOV
wayeee	!	OOV
(@	P	OOV
Golden	^	IV
Screen	N	OOV
Cinemas	^	IV
(	,	IV
GSC	^	IV
)	,	IV
-	,	IV
@gscinemas	@	IV
w/	P	OOV
@epiomey	@	IV
@syahmirukaini	@	IV
)	,	IV
http://t.co/iOQo1W2JFq	U	IV
			
RT	~	IV
@kryjs_	@	IV
:	,	IV
Help	V	IV
RT	~	IV
#openfollow	#	IV
for	P	IV
RP	!	IV
baru	!	IV
netas	!	OOV
:D	E	OOV
			
She	O	IV
is	V	IV
still	R	IV
president	N	IV
so	R	IV
whatever	!	IV
she	O	IV
says	V	IV
is	V	IV
valid	A	IV
"	,	IV
@Sir_Suffix	@	IV
:	,	IV
section	N	IV
82	$	IV
sikugwirizana	!	OOV
ndi	!	IV
zomwe	!	OOV
JB	^	IV
akukamba	!	OOV
apa	!	IV
shaah	^	IV
"	,	IV
			
@Babylon999	@	IV
hello	!	IV
luv	N	IV
..	,	IV
I'm	L	IV
ok	!	IV
thanks	N	IV
how's	L	IV
you	O	IV
?	,	IV
Hun	N	IV
x	E	IV
			
RT	~	IV
@yeanmaeee	@	IV
:	,	IV
@marijuanx	@	IV
they're	L	IV
usernames	N	OOV
.	,	IV
they're	L	IV
.	,	IV
they	O	IV
are	V	IV
usernames	N	OOV
.	,	IV
yep	!	IV
.	,	IV
			
RT	~	IV
@TrollouisPIZZA	@	IV
:	,	IV
@Pixelplay16	@	IV
whenever	R	IV
u	O	IV
scream	V	IV
i	O	IV
laugh	V	IV
hard	A	IV
xD	E	OOV
			
Parmesean	N	OOV
garlic	N	IV
/	,	IV
Louisiana	^	IV
rub	V	IV
FTW	!	OOV
!!!	,	IV
			
Meg	^	IV
just	R	IV
said	V	IV
"	,	IV
im	L	IV
going	V	IV
to	P	IV
die	V	IV
because	P	IV
i	O	IV
didnt	V	OOV
get	V	IV
my	D	IV
tetnus	^	IV
shot	N	IV
before	P	IV
i	O	IV
ate	V	IV
microwaved	A	IV
bacon	N	IV
"	,	IV
			
I'm	L	IV
at	P	IV
Brenda's	Z	IV
House	N	IV
(	,	IV
Caxias	^	IV
Do	V	IV
Sul	!	IV
)	,	IV
http://t.co/Juy6UJUzxo	U	IV
			
@JulietC__	@	IV
u	O	IV
are	V	IV
mad	A	IV
lol	!	IV
			
RT	~	IV
@RBMA	@	IV
:	,	IV
NY's	Z	OOV
legendary	A	IV
Funhouse	^	IV
arguably	R	IV
birthed	V	IV
dance	N	IV
music's	N	IV
first	A	IV
DJ	^	IV
superstar	N	IV
@HEYJELLYBEAN	@	IV
BENITEZ	^	IV
http://t.co/o407ryZFv3	U	IV
#djJellyB	#	IV
			
Happy	A	OOV
biryhday	!	OOV
my	D	IV
lovely	A	IV
rizhal	!	OOV
rizky	!	OOV
wish	V	IV
u	O	IV
all	D	IV
the	D	IV
best	A	IV
(	,	IV
y	R	IV
):	,	IV
D*gift	N	OOV
*	,	IV
loveyou	!	OOV
@RizaLRizky10	@	IV
			
I	O	IV
HAD	V	OOV
TO	P	IV
BE	V	OOV
INFORMED	V	OOV
N	&	IV
TOLD	V	OOV
FACE	N	OOV
TO	P	IV
FACE	N	OOV
I	O	IV
DIDNT	V	OOV
UNDESTANRD	!	OOV
BUT	&	OOV
NOW	R	IV
LIFE	N	OOV
HAS	V	OOV
MEANING	N	OOV
			
Disfavor	N	OOV
microsofts	S	OOV
largest	A	IV
efforts	N	IV
,	,	IV
vme	!	OOV
restful	A	IV
condone	V	IV
problems	N	IV
epidemic	N	IV
:	,	IV
VyD	!	OOV
			
maN	!	OOV
heNNy	^	IV
will	V	IV
chaNge	N	OOV
yo	!	IV
whole	A	IV
fucciN	!	OOV
life	N	IV
cuh	N	OOV
!!!	,	IV
			
||	G	OOV
your	D	IV
account	N	IV
is	V	IV
perfect	A	IV
you're	L	IV
so	R	IV
pretty	R	IV
and	&	IV
your	D	IV
bio	N	IV
same	A	IV
stay	V	IV
perf	N	IV
x	E	IV
			
ofc	!	OOV
i	O	IV
remember	V	IV
you	O	IV
pmsl	!	OOV
.	,	IV
you're	L	IV
the	D	IV
first	A	IV
member	N	IV
here	R	IV
@kxxghr	@	IV
			
@chaos	@	IV
ahh	!	IV
ofc	!	OOV
bbo	!	IV
!!	,	IV
I'll	L	IV
let	V	IV
you	O	IV
know	V	IV
when	R	IV
i	O	IV
get	V	IV
them	O	IV
~	G	OOV
			
RT	~	IV
@isyrq	@	IV
:	,	IV
Dari	!	IV
15-9	$	IV
lcw	^	IV
comeback	N	IV
21-16	$	IV
respect	V	IV
			
@HomerunBraves	@	IV
slim	A	IV
pickins	N	OOV
on	P	IV
wings	N	IV
when	R	IV
u	O	IV
live	V	IV
in	P	IV
Podunkville	^	IV
Ms	^	IV
			
MarketWatch	^	IV
First	A	OOV
Take	V	OOV
:	,	IV
Apple	^	IV
needs	V	IV
Beats	V	OOV
deal	N	IV
to	P	IV
revive	V	IV
iTunes	^	IV
http://t.co/tCMlx2q59M	U	IV
MARKETWATCH	^	IV
			
Who	O	OOV
will	V	IV
score	N	IV
first	A	IV
:	,	IV
Hibbert	^	IV
or	&	IV
Rashard	^	IV
Lewis	^	IV
?	,	IV
			
RT	~	IV
@MyBlackKiss	@	IV
:	,	IV
Dear	!	IV
GMA	!	IV
,	,	IV
"	,	IV
hi	!	IV
"	,	IV
"	,	IV
im	L	IV
louis	^	IV
tomlinson	^	IV
from	P	IV
bad	A	IV
direction	N	IV
"	,	IV
http://t.co/MQAWZ7yHbx	U	IV
			
@ughswer	@	IV
green	A	IV
day	N	IV
,	,	IV
paramore	^	IV
,	,	IV
yellowcard	^	IV
,	,	IV
fall	V	IV
out	T	IV
boy	N	IV
			
5	$	IV
second	A	IV
of	P	IV
summer	N	IV
will	V	IV
be	V	IV
my	D	IV
fav	!	IV
singer	N	IV
after	P	IV
this	O	IV
.	,	IV
haha	!	IV
			
VIXX	^	IV
reveal	V	IV
they	O	IV
were	V	IV
jealous	A	IV
of	P	IV
BTOB	^	IV
for	P	IV
being	V	IV
in	P	IV
the	D	IV
same	A	IV
agency	N	IV
as	P	IV
B2ST	^	IV
http://t.co/6I4qxfMWym	U	IV
			
RT	~	IV
@EatThisNotThat	@	IV
:	,	IV
The	D	IV
Baskin	^	IV
Robbins	^	IV
ice	N	IV
cream	N	IV
soda	N	IV
has	V	IV
as	P	IV
much	A	IV
sugar	N	IV
as	P	IV
10	$	IV
Fudgesicles	^	IV
.	,	IV
http://t.co/HUpqUoT2p5	U	IV
			
I	O	IV
don't	V	IV
know	V	IV
if	P	IV
its	L	IV
you	O	IV
are	V	IV
the	D	IV
whisky	N	IV
got	V	IV
me	O	IV
feelin	V	IV
all	D	IV
tipsy	A	IV
tipsy	A	IV
			
@mier4_	@	IV
ehh	!	OOV
ehh	!	OOV
wait	V	IV
wait	V	IV
~	G	OOV
jap	!	IV
kenal	^	IV
ain	V	IV
?	,	IV
			
Tas	^	IV
barbie	N	IV
+	&	OOV
sepatu	!	OOV
.	,	IV
165rb	!	OOV
.	,	IV
Order	N	OOV
invite	V	IV
line	N	IV
or	&	IV
pin	N	IV
BBM	^	IV
:)	E	OOV
http://t.co/W5MNCxaaQD	U	IV
			
5Hs	$	IV
biggest	A	IV
fan	N	IV
is	V	IV
camila	^	IV
cabello	!	OOV
			
RT	~	IV
@RioRated	@	IV
:	,	IV
Lil	A	IV
Durk	!	IV
x	E	IV
OTF	!	OOV
NuNu	N	OOV
-	,	IV
OC	^	IV
>>>	G	OOV
hard	A	IV
af	R	IV
			
RT	~	IV
@natnatnatchiu	@	IV
:	,	IV
New	A	IV
method	N	IV
of	P	IV
ponning	V	OOV
school	N	IV
hAHHAHAHA	!	OOV
http://t.co/XRVmH0dMhc	U	IV
			
yebi	!	OOV
stp	!	IV
make	V	IV
me	O	IV
confuse	V	IV
.	,	IV
Ahhh	!	OOV
-.-	E	OOV
			
@emyllxa	@	IV
i	O	IV
can	V	IV
see	V	IV
that	O	IV
actually	R	IV
HAHAHA	!	OOV
wheres	L	IV
your	D	IV
internship	N	IV
gonna	V	IV
be	V	IV
at	P	IV
?	,	IV
Wah	!	IV
means	V	IV
you	O	IV
can	V	IV
see	V	IV
me	O	IV
often	R	IV
already	R	IV
hahahaha	!	OOV
			
RT	~	IV
@PADUAhere	@	IV
:	,	IV
WARA	!	OOV
MAN	!	OOV
TALAGA	^	IV
FOREVER	R	OOV
NIYATA	!	OOV
ANO	!	OOV
UNA	^	IV
MO	!	IV
IMORTAL	^	IV
KA	^	IV
?	,	IV
HAHAHAHAHAHHAHAHA	!	OOV
			
RT	~	IV
@ACommonFemaIe	@	IV
:	,	IV
when	R	IV
u	O	IV
mad	A	IV
at	P	IV
bae	N	IV
http://t.co/5lVQO33t4p	U	IV
			
RT	~	IV
@over_dyose	@	IV
:	,	IV
Jongin	^	IV
jumped	V	IV
over	P	IV
Baek's	Z	OOV
back	R	IV
!	,	IV
And	&	IV
tao	N	OOV
hugged	V	IV
kyungsoo's	G	OOV
leg	N	IV
when	R	IV
chanyeol	^	IV
lifted	V	IV
him	O	IV
up	T	IV
			
Omfg	!	OOV
elias	^	IV
