#MLRT	#	IV	5	#ML	LRT
,	,	IV	1	,	,
Christina	^	IV	9	Chr	ina
Aguilera	^	IV	8	Agu	era
(	,	IV	1	(	(
13	$	IV	2	13	13
)	,	IV	1	)	)
&	&	OOV	1	&	&
Kylie	^	IV	5	Kyl	lie
Minogue	^	IV	7	Min	gue
(	,	IV	1	(	(
12	$	IV	2	12	12
)	,	IV	1	)	)
#mm	#	IV	3	#mm	#mm
http://t.co/FS1CMEKpNQ	U	IV	22	htt	pNQ
			
RT	~	IV	2	RT	RT
@LOHANTHONY	@	IV	11	@LO	ONY
:	,	IV	1	:	:
LANA	!	OOV	4	LAN	ANA
JUST	R	OOV	4	JUS	UST
SNAPCHATED	^	IV	10	SNA	TED
ME	O	IV	2	ME	ME
I	O	IV	1	I	I
CANT	V	OOV	4	CAN	ANT
BRE	!	OOV	3	BRE	BRE
A	D	IV	1	A	A
THEEEEKEOFOFWN	^	IV	14	THE	FWN
IM	L	IV	2	IM	IM
SO	R	IV	2	SO	SO
HAPPYLGOVO	!	OOV	10	HAP	OVO
&	&	OOV	1	&	&
;	,	IV	1	;	;
kf	!	IV	2	kf	kf
http://t.co/buklWmmeCM	U	IV	22	htt	eCM
			
Why	R	IV	3	Why	Why
tf	!	IV	2	tf	tf
does	V	IV	4	doe	oes
my	D	IV	2	my	my
mom	N	IV	3	mom	mom
say	V	IV	3	say	say
"	,	IV	1	"	"
it's	L	IV	4	it'	t's
bout	P	IV	4	bou	out
to	P	IV	2	to	to
be	V	IV	2	be	be
on	P	IV	2	on	on
and	&	IV	3	and	and
poppin	V	IV	6	pop	pin
"	,	IV	1	"	"
			
RT	~	IV	2	RT	RT
@BBCSporf	@	IV	9	@BB	orf
:	,	IV	1	:	:
EXCLUSIVE	A	OOV	9	EXC	IVE
:	,	IV	1	:	:
Footage	N	OOV	7	Foo	age
of	P	IV	2	of	of
Vincent	^	IV	7	Vin	ent
Kompany	^	IV	7	Kom	any
going	V	IV	5	goi	ing
up	T	IV	2	up	up
to	P	IV	2	to	to
Yaya	!	OOV	4	Yay	aya
Toure	^	IV	5	Tou	ure
after	P	IV	5	aft	ter
telling	V	IV	7	tel	ing
him	O	IV	3	him	him
he	O	IV	2	he	he
was	V	IV	3	was	was
leaving	V	IV	7	lea	ing
.	,	IV	1	.	.
https://t.co/wxA0klSTOh	U	IV	23	htt	TOh
			
I'm	L	IV	3	I'm	I'm
a	D	IV	1	a	a
young	A	IV	5	you	ung
rich	A	IV	4	ric	ich
nigga	N	IV	5	nig	gga
,	,	IV	1	,	,
whippin	!	IV	7	whi	pin
'	,	IV	1	'	'
the	D	IV	3	the	the
chemicals	N	IV	9	che	als
Middle	N	IV	6	Mid	dle
of	P	IV	2	of	of
the	D	IV	3	the	the
summer	N	IV	6	sum	mer
wearin	V	IV	6	wea	rin
'	,	IV	1	'	'
chinchilla's	!	IV	12	chi	a's
			
bxtch	N	OOV	5	bxt	tch
dont	V	IV	4	don	ont
front	N	IV	5	fro	ont
,	,	IV	1	,	,
ill	L	IV	3	ill	ill
have	V	IV	4	hav	ave
you	O	IV	3	you	you
cut	N	IV	3	cut	cut
off	T	IV	3	off	off
too	R	IV	3	too	too
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@TellemCmainey	@	IV	14	@Te	ney
:	,	IV	1	:	:
can't	V	IV	5	can	n't
wait	V	IV	4	wai	ait
till	P	IV	4	til	ill
this	O	IV	4	thi	his
song	N	IV	4	son	ong
w/	P	OOV	2	w/	w/
me	O	IV	2	me	me
,	,	IV	1	,	,
j	G	IV	1	j	j
,	,	IV	1	,	,
leo	^	IV	3	leo	leo
,	,	IV	1	,	,
leo	^	IV	3	leo	leo
bro	N	IV	3	bro	bro
n	&	IV	1	n	n
kat	^	IV	3	kat	kat
come	V	IV	4	com	ome
out	T	IV	3	out	out
.	,	IV	1	.	.
yall	O	IV	4	yal	all
gonna	V	IV	5	gon	nna
keep	V	IV	4	kee	eep
it	O	IV	2	it	it
on	P	IV	2	on	on
replay	N	IV	6	rep	lay
			
Ini	G	OOV	3	Ini	Ini
org	!	IV	3	org	org
ke-4	^	IV	4	ke-	e-4
,	,	IV	1	,	,
setipe	!	OOV	6	set	ipe
.	,	IV	1	.	.
Keep	V	OOV	4	Kee	eep
calm	A	IV	4	cal	alm
&	&	OOV	1	&	&
cool	A	IV	4	coo	ool
.	,	IV	1	.	.
			
I	O	IV	1	I	I
was	V	IV	3	was	was
abt	!	IV	3	abt	abt
to	P	IV	2	to	to
compliment	N	IV	10	com	ent
y'all	O	IV	5	y'a	all
crusty	A	IV	6	cru	sty
asses	N	IV	5	ass	ses
,	,	IV	1	,	,
but	&	IV	3	but	but
nvm	!	OOV	3	nvm	nvm
now	R	IV	3	now	now
RT	~	IV	2	RT	RT
@BanitaApplebumm	@	IV	16	@Ba	umm
:	,	IV	1	:	:
Don't	V	OOV	5	Don	n't
do	V	IV	2	do	do
us	O	IV	2	us	us
!	,	IV	1	!	!
RT	~	IV	2	RT	RT
@StagBeChillin	@	IV	14	@St	lin
:	,	IV	1	:	:
Light	N	OOV	5	Lig	ght
.	,	IV	1	.	.
Skinted	^	IV	7	Ski	ted
.	,	IV	1	.	.
Wimminz	!	OOV	7	Wim	inz
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@hannahkrams	@	IV	12	@ha	ams
:	,	IV	1	:	:
snapchat	!	OOV	8	sna	hat
bffs	N	OOV	4	bff	ffs
will	V	IV	4	wil	ill
always	R	IV	6	alw	ays
getcha	!	OOV	6	get	cha
into	P	IV	4	int	nto
a	D	IV	1	a	a
pickle	N	IV	6	pic	kle
			
RT	~	IV	2	RT	RT
@bren_bitchass	@	IV	14	@br	ass
:	,	IV	1	:	:
my	D	IV	2	my	my
family	N	IV	6	fam	ily
doesn't	V	IV	7	doe	n't
even	R	IV	4	eve	ven
know	V	IV	4	kno	now
I	O	IV	1	I	I
do	V	IV	2	do	do
a	D	IV	1	a	a
shit	N	IV	4	shi	hit
ton	N	IV	3	ton	ton
if	P	IV	2	if	if
meth	N	IV	4	met	eth
HAHA	!	OOV	4	HAH	AHA
			
My	D	IV	2	My	My
momma	!	OOV	5	mom	mma
ain't	V	IV	5	ain	n't
live	V	IV	4	liv	ive
like	P	IV	4	lik	ike
no	!	IV	2	no	no
second	A	IV	6	sec	ond
class	N	IV	5	cla	ass
nigga	N	IV	5	nig	gga
.	,	IV	1	.	.
			
Bitches	N	OOV	7	Bit	hes
is	V	IV	2	is	is
so	R	IV	2	so	so
fake	A	IV	4	fak	ake
in	P	IV	2	in	in
my	D	IV	2	my	my
school	N	IV	6	sch	ool
lol	!	IV	3	lol	lol
smh	G	OOV	3	smh	smh
			
@brittpescatore	@	IV	15	@br	ore
oh	!	IV	2	oh	oh
shizz	N	OOV	5	shi	izz
,	,	IV	1	,	,
ill	L	IV	3	ill	ill
take	V	IV	4	tak	ake
you	O	IV	3	you	you
to	P	IV	2	to	to
france	^	IV	6	fra	nce
one	$	IV	3	one	one
day	N	IV	3	day	day
no	!	IV	2	no	no
worries	N	IV	7	wor	ies
.	,	IV	1	.	.
F	N	IV	1	F	F
linda	^	IV	5	lin	nda
			
Me	O	IV	2	Me	Me
an	D	IV	2	an	an
poohgutta	!	OOV	9	poo	tta
soft	A	IV	4	sof	oft
flex	N	IV	4	fle	lex
hbd	!	OOV	3	hbd	hbd
Cuzzo	N	OOV	5	Cuz	zzo
!!	,	IV	2	!!	!!
http://t.co/Lj3sE8EuVH	U	IV	22	htt	uVH
			
A	D	IV	1	A	A
double	A	IV	6	dou	ble
chocolate	N	IV	9	cho	ate
cookies	N	IV	7	coo	ies
with	P	IV	4	wit	ith
Nutella	N	OOV	7	Nut	lla
and	&	IV	3	and	and
caramel	N	IV	7	car	mel
/	,	IV	1	/	/
caramel	N	IV	7	car	mel
and	&	IV	3	and	and
Nutella	N	OOV	7	Nut	lla
stuffed	V	IV	7	stu	fed
double	A	IV	6	dou	ble
chocolate	N	IV	9	cho	ate
chip	N	IV	4	chi	hip
coo	!	IV	3	coo	coo
http://t.co/5f4TpsDuDB	U	IV	22	htt	uDB
			
Replied	V	OOV	7	Rep	ied
au	!	IV	2	au	au
:D	E	OOV	2	:D	:D
"	,	IV	1	"	"
@auliaahn_	@	IV	10	@au	hn_
:	,	IV	1	:	:
@_khusna	@	IV	8	@_k	sna
tyaa	!	OOV	4	tya	yaa
cek	!	IV	3	cek	cek
dm	N	IV	2	dm	dm
yaw	O	IV	3	yaw	yaw
wkwk	!	OOV	4	wkw	kwk
"	,	IV	1	"	"
			
@CityTshwane	@	IV	12	@Ci	ane
Tent	N	OOV	4	Ten	ent
erected	V	IV	7	ere	ted
in	P	IV	2	in	in
the	D	IV	3	the	the
middle	N	IV	6	mid	dle
of	P	IV	2	of	of
a	D	IV	1	a	a
Main	A	IV	4	Mai	ain
road	N	IV	4	roa	oad
in	P	IV	2	in	in
Phase	N	OOV	5	Pha	ase
4	$	IV	1	4	4
in	P	IV	2	in	in
Mamelodi	^	IV	8	Mam	odi
,	,	IV	1	,	,
we	O	IV	2	we	we
knw	V	OOV	3	knw	knw
they	O	IV	4	the	hey
r	V	IV	1	r	r
grieving	V	IV	8	gri	ing
bt	&	IV	2	bt	bt
not	R	IV	3	not	not
in	P	IV	2	in	in
main	A	IV	4	mai	ain
road	N	IV	4	roa	oad
.	,	IV	1	.	.
			
RT	~	IV	2	RT	RT
@amnediel	@	IV	9	@am	iel
:	,	IV	1	:	:
Watching	V	OOV	8	Wat	ing
#phoneshop	#	IV	10	#ph	hop
@realadamdeacon	@	IV	15	@re	con
episode	N	IV	7	epi	ode
haha	!	IV	4	hah	aha
"	,	IV	1	"	"
man's	S	IV	5	man	n's
makin	V	IV	5	mak	kin
tea	N	IV	3	tea	tea
wid	!	IV	3	wid	wid
his	D	IV	3	his	his
own	A	IV	3	own	own
piss	V	IV	4	pis	iss
"	,	IV	1	"	"
Quality	N	OOV	7	Qua	ity
			
RT	~	IV	2	RT	RT
@KinggMee4	@	IV	10	@Ki	ee4
:	,	IV	1	:	:
This	D	IV	4	Thi	his
nigga	N	IV	5	nig	gga
Dom	^	IV	3	Dom	Dom
really	R	IV	6	rea	lly
be	V	IV	2	be	be
tryna	V	OOV	5	try	yna
hide	V	IV	4	hid	ide
his	D	IV	3	his	his
birthday	N	IV	8	bir	day
,	,	IV	1	,	,
conversate	N	OOV	10	con	ate
with	P	IV	4	wit	ith
him	O	IV	3	him	him
and	&	IV	3	and	and
all	D	IV	3	all	all
and	&	IV	3	and	and
never	R	IV	5	nev	ver
knew	V	IV	4	kne	new
#weirdo	#	IV	7	#we	rdo
			
RT	~	IV	2	RT	RT
@FunnyPicsDepot	@	IV	15	@Fu	pot
:	,	IV	1	:	:
Gah	!	OOV	3	Gah	Gah
damn	!	IV	4	dam	amn
her	O	IV	3	her	her
arm	N	IV	3	arm	arm
is	V	IV	2	is	is
long	A	IV	4	lon	ong
af	R	IV	2	af	af
bruh	N	OOV	4	bru	ruh
http://t.co/ieFRyeSxd1	U	IV	22	htt	xd1
			
RT	~	IV	2	RT	RT
@kamalfadel12	@	IV	13	@ka	l12
:	,	IV	1	:	:
Elin	^	IV	4	Eli	lin
Danielson	^	IV	9	Dan	son
Gambogi	!	OOV	7	Gam	ogi
-	,	IV	1	-	-
After	P	OOV	5	Aft	ter
Breakfast	N	OOV	9	Bre	ast
.	,	IV	1	.	.
http://t.co/tChFy3crxn	U	IV	22	htt	rxn
			
RT	~	IV	2	RT	RT
@Biebs_Loverx	@	IV	13	@Bi	erx
:	,	IV	1	:	:
I	O	IV	1	I	I
CAN	V	OOV	3	CAN	CAN
BASICALLY	R	OOV	9	BAS	LLY
KILL	V	OOV	4	KIL	ILL
TO	P	IV	2	TO	TO
SEE	V	OOV	3	SEE	SEE
JUSTIN	^	IV	6	JUS	TIN
AND	&	OOV	3	AND	AND
KENNY	^	IV	5	KEN	NNY
TOGETHER	R	OOV	8	TOG	HER
WTF	!	OOV	3	WTF	WTF
MAN	!	OOV	3	MAN	MAN
IM	L	IV	2	IM	IM
UPSET	A	OOV	5	UPS	SET
			
"	,	IV	1	"	"
MANAM	!	OOV	5	MAN	NAM
"	,	IV	1	"	"
wow	!	IV	3	wow	wow
!	,	IV	1	!	!
!	,	IV	1	!	!
it	O	IV	2	it	it
wos	V	IV	3	wos	wos
an	D	IV	2	an	an
awesome	A	IV	7	awe	ome
movie	N	IV	5	mov	vie
Very	R	OOV	4	Ver	ery
nice	A	IV	4	nic	ice
to	P	IV	2	to	to
watch	V	IV	5	wat	tch
it	O	IV	2	it	it
My	D	IV	2	My	My
hearty	A	IV	6	hea	rty
congratulations	N	IV	15	con	ons
to	P	IV	2	to	to
my	D	IV	2	my	my
dearest	!	IV	7	dea	est
hero	N	IV	4	her	ero
nagarjuna	^	IV	9	nag	una
garu	!	OOV	4	gar	aru
and	&	IV	3	and	and
thank	V	IV	5	tha	ank
u	O	IV	1	u	u
			
RT	~	IV	2	RT	RT
@BestOfWorldStar	@	IV	16	@Be	tar
:	,	IV	1	:	:
When	R	OOV	4	Whe	hen
bae	N	IV	3	bae	bae
tryin	V	IV	5	try	yin
to	P	IV	2	to	to
break	V	IV	5	bre	eak
up	T	IV	2	up	up
with	P	IV	4	wit	ith
you	O	IV	3	you	you
http://t.co/TkY8abmV1h	U	IV	22	htt	V1h
			
RT	~	IV	2	RT	RT
@lilduval	@	IV	9	@li	val
:	,	IV	1	:	:
Y'all	O	OOV	5	Y'a	all
asked	V	IV	5	ask	ked
4	$	IV	1	4	4
Kevin	^	IV	5	Kev	vin
hart	^	IV	4	har	art
Katt	^	IV	4	Kat	att
Williams	^	IV	8	Wil	ams
mike	^	IV	4	mik	ike
epps	^	IV	4	epp	pps
and	&	IV	3	and	and
lil	A	IV	3	lil	lil
duval	^	IV	5	duv	val
all	D	IV	3	all	all
on	P	IV	2	on	on
1	$	IV	1	1	1
movie	N	IV	5	mov	vie
.	,	IV	1	.	.
July	^	IV	4	Jul	uly
2nd	$	IV	3	2nd	2nd
#schooldance	#	IV	12	#sc	nce
http://t.co/DQlTpEPWxm	U	IV	22	htt	Wxm
			
RT	~	IV	2	RT	RT
@JakCloth	@	IV	9	@Ja	oth
:	,	IV	1	:	:
H-1	!	OOV	3	H-1	H-1
JakCloth	^	IV	8	Jak	oth
summer	N	IV	6	sum	mer
fest	N	IV	4	fes	est
5th	A	OOV	3	5th	5th
anniversary	N	IV	11	ann	ary
28	$	IV	2	28	28
mei	!	IV	3	mei	mei
-	,	IV	1	-	-
1	$	IV	1	1	1
juni	!	IV	4	jun	uni
2014	$	IV	4	201	014
parkir	^	IV	6	par	kir
timur	N	OOV	5	tim	mur
senayan	^	IV	7	sen	yan
....	,	IV	4	...	...
			
@narendramodi	@	IV	13	@na	odi
God	^	IV	3	God	God
ll	!	IV	2	ll	ll
give	V	IV	4	giv	ive
u	O	IV	1	u	u
all	D	IV	3	all	all
strength	N	IV	8	str	gth
and	&	IV	3	and	and
power	N	IV	5	pow	wer
to	P	IV	2	to	to
take	V	IV	4	tak	ake
our	D	IV	3	our	our
country	N	IV	7	cou	try
to	P	IV	2	to	to
the	D	IV	3	the	the
summit	N	IV	6	sum	mit
.	,	IV	1	.	.
Urge	N	OOV	4	Urg	rge
you	O	IV	3	you	you
that	O	IV	4	tha	hat
do	V	IV	2	do	do
not	R	IV	3	not	not
forget	V	IV	6	for	get
the	D	IV	3	the	the
poors	N	IV	5	poo	ors
as	P	IV	2	as	as
ppl	N	IV	3	ppl	ppl
made	V	IV	4	mad	ade
u	O	IV	1	u	u
pm	N	IV	2	pm	pm
			
Editing	V	OOV	7	Edi	ing
and	&	IV	3	and	and
mixing	V	IV	6	mix	ing
tracks	N	IV	6	tra	cks
for	P	IV	3	for	for
$50	$	IV	3	$50	$50
mastering	V	IV	9	mas	ing
seperate	A	OOV	8	sep	ate
inbox	N	OOV	5	inb	box
me	O	IV	2	me	me
for	P	IV	3	for	for
package	N	IV	7	pac	age
deal	N	IV	4	dea	eal
rates	N	IV	5	rat	tes
			
@blenchii	@	IV	9	@bl	hii
scrolling	V	IV	9	scr	ing
through	P	IV	7	thr	ugh
twitter	^	IV	7	twi	ter
and	&	IV	3	and	and
hashtags	N	OOV	8	has	ags
is	V	IV	2	is	is
NOT	R	OOV	3	NOT	NOT
market	N	IV	6	mar	ket
research	N	IV	8	res	rch
;)	E	OOV	2	;)	;)
x	E	IV	1	x	x
			
RT	~	IV	2	RT	RT
@GeoffHobsonCin	@	IV	15	@Ge	Cin
:	,	IV	1	:	:
Hall	N	IV	4	Hal	all
,	,	IV	1	,	,
Geno	^	IV	4	Gen	eno
on	P	IV	2	on	on
field	N	IV	5	fie	eld
for	P	IV	3	for	for
warmups	N	OOV	7	war	ups
but	&	IV	3	but	but
not	R	IV	3	not	not
in	P	IV	2	in	in
unis	N	IV	4	uni	nis
;	,	IV	1	;	;
Still	R	OOV	5	Sti	ill
,	,	IV	1	,	,
Boling	^	IV	6	Bol	ing
go	V	IV	2	go	go
inside	P	IV	6	ins	ide
after	P	IV	5	aft	ter
warmups	N	OOV	7	war	ups
			
RT	~	IV	2	RT	RT
@LilJoshDawgAzz	@	IV	15	@Li	Azz
:	,	IV	1	:	:
If	P	IV	2	If	If
You	O	IV	3	You	You
Fwm	!	OOV	3	Fwm	Fwm
Then	R	OOV	4	The	hen
Fwm	!	OOV	3	Fwm	Fwm
If	P	IV	2	If	If
Not	R	IV	3	Not	Not
Move	V	OOV	4	Mov	ove
Around	P	OOV	6	Aro	und
Why	R	IV	3	Why	Why
Waste	N	OOV	5	Was	ste
Both	!	IV	4	Bot	oth
Our	D	OOV	3	Our	Our
Time	N	IV	4	Tim	ime
?	,	IV	1	?	?
			
@NiallOfficial	@	IV	14	@Ni	ial
im	L	IV	2	im	im
so	R	IV	2	so	so
clingy	A	IV	6	cli	ngy
to	P	IV	2	to	to
you	O	IV	3	you	you
right	!	IV	5	rig	ght
now	R	IV	3	now	now
lols	!	IV	4	lol	ols
			
@Ashton5SOS	@	IV	11	@As	SOS
OMG	!	OOV	3	OMG	OMG
Ashton	^	IV	6	Ash	ton
tell	V	IV	4	tel	ell
me	O	IV	2	me	me
what	O	IV	4	wha	hat
you	O	IV	3	you	you
got	V	IV	3	got	got
tattooed	V	IV	8	tat	oed
?!?!?	,	IV	5	?!?	?!?
PLEASEEE	V	OOV	8	PLE	EEE
			
RT	~	IV	2	RT	RT
@aenwiya24	@	IV	10	@ae	a24
:	,	IV	1	:	:
Haha	!	OOV	4	Hah	aha
i	O	IV	1	i	i
feel	V	IV	4	fee	eel
like	P	IV	4	lik	ike
whenever	R	IV	8	whe	ver
you	O	IV	3	you	you
are	V	IV	3	are	are
thinkin	V	IV	7	thi	kin
bout	P	IV	4	bou	out
something/someone	N	OOV	17	som	one
you	O	IV	3	you	you
can	V	IV	3	can	can
relate	V	IV	6	rel	ate
to	P	IV	2	to	to
every	D	IV	5	eve	ery
fuckin	!	IV	6	fuc	kin
tweet	V	IV	5	twe	eet
			
5	$	IV	1	5	5
Heart-Warming	!	OOV	13	Hea	ing
Songs	N	OOV	5	Son	ngs
from	P	IV	4	fro	rom
Pop	N	IV	3	Pop	Pop
Star	^	IV	4	Sta	tar
Mommas	N	OOV	6	Mom	mas
[	,	IV	1	[	[
The	D	IV	3	The	The
Playlist	N	OOV	8	Pla	ist
]	,	IV	1	]	]
http://t.co/7MA84UJus5	U	IV	22	htt	us5
			
RT	~	IV	2	RT	RT
@HoodJesusYo	@	IV	12	@Ho	sYo
:	,	IV	1	:	:
We	O	IV	2	We	We
rememberin	V	IV	10	rem	rin
and	&	IV	3	and	and
prayin	V	IV	6	pra	yin
for	P	IV	3	for	for
those	O	IV	5	tho	ose
that	O	IV	4	tha	hat
gave	V	IV	4	gav	ave
tha	D	IV	3	tha	tha
ultimate	A	IV	8	ult	ate
sacrifice	N	IV	9	sac	ice
.	,	IV	1	.	.
God	^	IV	3	God	God
bless	!	IV	5	ble	ess
em	O	IV	2	em	em
.	,	IV	1	.	.
They	O	OOV	4	The	hey
with	P	IV	4	wit	ith
our	D	IV	3	our	our
Savior	N	IV	6	Sav	ior
Jesus	^	IV	5	Jes	sus
!	,	IV	1	!	!
#MemorialDay	#	IV	12	#Me	Day
			
Nah	!	IV	3	Nah	Nah
RT	~	IV	2	RT	RT
@WhuddupSlime	@	IV	13	@Wh	ime
:	,	IV	1	:	:
Paul	^	IV	4	Pau	aul
and	&	IV	3	and	and
Donzell	!	OOV	7	Don	ell
wanna	V	IV	5	wan	nna
be	V	IV	2	be	be
bae	N	IV	3	bae	bae
soooo	R	OOV	5	soo	ooo
badly	R	IV	5	bad	dly
.	,	IV	1	.	.
			
@TheHamda	@	IV	9	@Th	mda
youre	L	OOV	5	you	ure
hot	A	IV	3	hot	hot
and	&	IV	3	and	and
beautiful	A	IV	9	bea	ful
as	P	IV	2	as	as
fuck	!	IV	4	fuc	uck
a9lan	!	OOV	5	a9l	lan
youre	L	OOV	5	you	ure
human	N	IV	5	hum	man
its	L	IV	3	its	its
not	R	IV	3	not	not
your	D	IV	4	you	our
job	N	IV	3	job	job
to	P	IV	2	to	to
be	V	IV	2	be	be
"	,	IV	1	"	"
perfect	A	IV	7	per	ect
looking	V	IV	7	loo	ing
"	,	IV	1	"	"
everyday	N	IV	8	eve	day
golelhum	!	OOV	8	gol	hum
yaklo	!	OOV	5	yak	klo
teben	^	IV	5	teb	ben
xoxoxxo	E	OOV	7	xox	xxo
			
@Ren_christya	@	IV	13	@Re	tya
ka	!	IV	2	ka	ka
tanggal	^	IV	7	tan	gal
27	$	IV	2	27	27
mau	!	IV	3	mau	mau
bikn	!	OOV	4	bik	ikn
project	N	IV	7	pro	ect
lgi	!	IV	3	lgi	lgi
nh	^	IV	2	nh	nh
wkwkwk	!	OOV	6	wkw	kwk
			
RT	~	IV	2	RT	RT
@HeadBussa_CVSB	@	IV	15	@He	VSB
:	,	IV	1	:	:
Stay	N	OOV	4	Sta	tay
real	A	IV	4	rea	eal
,	,	IV	1	,	,
stay	V	IV	4	sta	tay
down	T	IV	4	dow	own
&	&	OOV	1	&	&
stay	V	IV	4	sta	tay
true	A	IV	4	tru	rue
..	,	IV	2	..	..
Thats	L	OOV	5	Tha	ats
all	D	IV	3	all	all
a	D	IV	1	a	a
nigga	N	IV	5	nig	gga
ask	V	IV	3	ask	ask
			
Blizz	^	IV	5	Bli	izz
devs	N	OOV	4	dev	evs
say	V	IV	3	say	say
their	D	IV	5	the	eir
sexed	V	IV	5	sex	xed
up	T	IV	2	up	up
characters	N	IV	10	cha	ers
aren't	V	IV	6	are	n't
"	,	IV	1	"	"
sending	V	IV	7	sen	ing
a	D	IV	1	a	a
message	N	IV	7	mes	age
"	,	IV	1	"	"
-	,	IV	1	-	-
http://t.co/VCHMpYuIyl	U	IV	22	htt	Iyl
#heh	#	IV	4	#he	heh
			
Nothing	N	OOV	7	Not	ing
like	P	IV	4	lik	ike
a	D	IV	1	a	a
little	A	IV	6	lit	tle
cattitude	!	OOV	9	cat	ude
to	P	IV	2	to	to
show	N	IV	4	sho	how
ya	!	IV	2	ya	ya
where	R	IV	5	whe	ere
ya	!	IV	2	ya	ya
stand	V	IV	5	sta	and
.	,	IV	1	.	.
lol	!	IV	3	lol	lol
#Simba	#	IV	6	#Si	mba
http://t.co/USbXXxd3Bh	U	IV	22	htt	3Bh
			
RT	~	IV	2	RT	RT
@ComedyTruth	@	IV	12	@Co	uth
:	,	IV	1	:	:
when	R	IV	4	whe	hen
u	O	IV	1	u	u
accidentally	R	IV	12	acc	lly
open	V	IV	4	ope	pen
a	D	IV	1	a	a
convo	N	IV	5	con	nvo
you	O	IV	3	you	you
were	V	IV	4	wer	ere
avoiding	V	IV	8	avo	ing
http://t.co/9axqcaUT02	U	IV	22	htt	T02
			
RT	~	IV	2	RT	RT
@tee_soClassy	@	IV	13	@te	ssy
:	,	IV	1	:	:
Jelena	^	IV	6	Jel	ena
is	V	IV	2	is	is
a	D	IV	1	a	a
bitch	N	IV	5	bit	tch
lol	!	IV	3	lol	lol
.	,	IV	1	.	.
			
i	O	IV	1	i	i
done	V	IV	4	don	one
fuckin	!	IV	6	fuc	kin
with	P	IV	4	wit	ith
these	D	IV	5	the	ese
Viv	^	IV	3	Viv	Viv
girls	N	IV	5	gir	rls
			
Yaya	!	OOV	4	Yay	aya
Toure	^	IV	5	Tou	ure
refuses	V	IV	7	ref	ses
to	P	IV	2	to	to
commit	V	IV	6	com	mit
future	N	IV	6	fut	ure
to	P	IV	2	to	to
Manchester	^	IV	10	Man	ter
City	N	IV	4	Cit	ity
http://t.co/cUTY8S3wnU	U	IV	22	htt	wnU
			
Its	L	OOV	3	Its	Its
raining	V	IV	7	rai	ing
at	P	IV	2	at	at
my	D	IV	2	my	my
Home	N	IV	4	Hom	ome
Town	N	IV	4	Tow	own
Arani	^	IV	5	Ara	ani
Tamilnadu	^	IV	9	Tam	adu
with	P	IV	4	wit	ith
heavy	A	IV	5	hea	avy
winds	N	IV	5	win	nds
cc	N	IV	2	cc	cc
@weatherofindia	@	IV	15	@we	dia
			
Taeny	^	IV	5	Tae	eny
ft	V	IV	2	ft	ft
.	,	IV	1	.	.
Starbucks	^	IV	9	Sta	cks
before	P	IV	6	bef	ore
the	D	IV	3	the	the
flight	N	IV	6	fli	ght
lol	!	IV	3	lol	lol
cr	N	IV	2	cr	cr
taenygenie	N	OOV	10	tae	nie
http://t.co/DK4qOhGMnf	U	IV	22	htt	Mnf
			
LANA	!	OOV	4	LAN	ANA
PARRILLA	^	IV	8	PAR	LLA
DONA	!	OOV	4	DON	ONA
DO	V	IV	2	DO	DO
MUNDO	!	OOV	5	MUN	NDO
			
RT	~	IV	2	RT	RT
@vndreaxx	@	IV	9	@vn	axx
:	,	IV	1	:	:
Grab	V	IV	4	Gra	rab
ur	L	IV	2	ur	ur
gf's	!	OOV	4	gf'	f's
ass	N	IV	3	ass	ass
infront	!	OOV	7	inf	ont
of	P	IV	2	of	of
the	D	IV	3	the	the
niggas	N	OOV	6	nig	gas
dying	V	IV	5	dyi	ing
to	P	IV	2	to	to
have	V	IV	4	hav	ave
her	O	IV	3	her	her
			
Dxck	N	OOV	4	Dxc	xck
pleaser	N	IV	7	ple	ser
is	V	IV	2	is	is
still	R	IV	5	sti	ill
a	D	IV	1	a	a
good	A	IV	4	goo	ood
song	N	IV	4	son	ong
lol	!	IV	3	lol	lol
			
RT	~	IV	2	RT	RT
@TweamKidrauhl	@	IV	14	@Tw	uhl
:	,	IV	1	:	:
you're	L	IV	6	you	're
only	R	IV	4	onl	nly
allowed	V	IV	7	all	wed
to	P	IV	2	to	to
make	V	IV	4	mak	ake
fun	N	IV	3	fun	fun
of	P	IV	2	of	of
Justin	^	IV	6	Jus	tin
Bieber	^	IV	6	Bie	ber
if	P	IV	2	if	if
you're	L	IV	6	you	're
a	D	IV	1	a	a
Belieber	N	OOV	8	Bel	ber
sorry	!	IV	5	sor	rry
.	,	IV	1	.	.
			
U	O	IV	1	U	U
niggas	N	OOV	6	nig	gas
ain't	V	IV	5	ain	n't
making	V	IV	6	mak	ing
no	!	IV	2	no	no
noise	N	IV	5	noi	ise
!!!	,	IV	3	!!!	!!!
			
@IiIouandstitch	@	IV	15	@Ii	tch
yeah	!	IV	4	yea	eah
im	L	IV	2	im	im
not	R	IV	3	not	not
sure	A	IV	4	sur	ure
haha	!	IV	4	hah	aha
:D	E	OOV	2	:D	:D
			
@KTHopkins	@	IV	10	@KT	ins
OMG	!	OOV	3	OMG	OMG
someone	N	IV	7	som	one
has	V	IV	3	has	has
unfollowed	V	OOV	10	unf	wed
u	O	IV	1	u	u
she	O	IV	3	she	she
won't	V	IV	5	won	n't
